,Task,Priority,InterArrival,Arrival,ServiceTime,FinishTime,SystemTime,WaitingTime,TimeOut,TimeOuted
0,0,3,11,0,7,7,7,0,17,False
1,1,3,7,7,6,13,6,0,18,False
2,2,3,10,17,8,29,12,4,16,False
3,3,3,4,21,6,33,12,6,16,False
4,4,3,5,26,6,39,13,7,18,False
5,5,2,8,34,6,45,11,5,20,False
6,6,3,7,41,6,49,8,2,16,False
7,7,3,11,52,6,58,6,0,19,False
8,8,2,10,62,6,68,6,0,16,False
9,9,3,9,71,7,81,10,3,17,False
10,10,3,6,77,6,86,9,3,16,False
11,11,3,6,83,6,90,7,1,16,False
12,12,2,7,90,9,99,9,0,17,False
13,13,3,17,107,6,113,6,0,16,False
14,14,3,11,118,6,124,6,0,17,False
15,15,3,6,124,6,130,6,0,16,False
16,16,3,11,135,7,142,7,0,16,False
17,17,3,7,142,8,160,18,10,18,False
18,18,3,5,147,7,161,14,7,17,False
19,19,3,6,153,6,165,12,6,16,False
20,20,3,4,157,7,173,16,9,16,False
21,21,3,8,165,7,182,17,10,16,True
22,22,3,9,174,6,184,10,4,17,False
23,23,3,4,178,6,188,10,4,16,False
24,24,3,14,192,6,198,6,0,20,False
25,25,2,8,200,6,206,6,0,16,False
26,26,1,12,212,6,218,6,0,16,False
27,27,2,12,224,9,236,12,3,16,False
28,28,3,7,231,6,239,8,2,19,False
29,29,3,8,239,8,250,11,3,17,False
30,30,3,7,246,6,253,7,1,16,False
31,31,3,10,256,6,262,6,0,16,False
32,32,3,7,263,6,269,6,0,16,False
33,33,3,13,276,6,282,6,0,17,False
34,34,3,8,284,9,297,13,4,16,False
35,35,3,8,292,7,300,8,1,16,False
36,36,3,11,303,6,309,6,0,16,False
37,37,1,7,310,6,316,6,0,18,False
38,38,3,7,317,9,332,15,6,16,False
39,39,3,6,323,7,334,11,4,16,False
40,40,2,9,332,6,341,9,3,17,False
41,41,2,6,338,6,345,7,1,16,False
42,42,3,9,347,6,353,6,0,17,False
43,43,3,9,356,6,364,8,2,16,False
44,44,2,4,360,7,369,9,2,18,False
45,45,2,9,369,6,375,6,0,18,False
46,46,1,8,377,6,383,6,0,17,False
47,47,3,8,385,6,391,6,0,16,False
48,48,2,8,393,6,399,6,0,16,False
49,49,1,6,399,6,405,6,0,16,False
50,50,3,8,407,6,413,6,0,17,False
51,51,3,7,414,6,420,6,0,16,False
52,52,3,6,420,6,426,6,0,16,False
53,53,3,6,426,6,432,6,0,16,False
54,54,3,10,436,6,442,6,0,16,False
55,55,2,8,444,6,452,8,2,18,False
56,56,3,5,449,6,458,9,3,17,False
57,57,1,6,455,6,462,7,1,16,False
58,58,3,7,462,6,468,6,0,18,False
59,59,3,8,470,7,477,7,0,17,False
60,60,2,8,478,8,486,8,0,16,False
61,61,3,9,487,6,493,6,0,16,False
62,62,3,13,500,6,506,6,0,16,False
63,63,3,8,508,6,514,6,0,18,False
64,64,3,10,518,8,526,8,0,16,False
65,65,3,10,528,6,534,6,0,16,False
66,66,3,6,534,6,540,6,0,16,False
67,68,1,5,545,6,552,7,1,16,False
68,67,1,6,540,7,555,15,8,19,False
69,69,3,7,552,6,559,7,1,16,False
70,70,3,10,562,8,570,8,0,16,False
71,71,3,13,575,7,582,7,0,22,False
72,72,3,10,585,6,591,6,0,18,False
73,73,3,13,598,6,606,8,2,17,False
74,74,3,4,602,6,610,8,2,16,False
75,75,3,15,617,6,624,7,1,16,False
76,76,2,5,622,6,629,7,1,16,False
77,77,3,10,632,6,638,6,0,16,False
78,78,3,10,642,6,650,8,2,17,False
79,79,3,5,647,6,654,7,1,16,False
80,80,1,10,657,6,663,6,0,16,False
81,81,3,7,664,6,670,6,0,18,False
82,82,3,8,672,6,680,8,2,18,False
83,83,2,4,676,6,686,10,4,16,False
84,84,3,7,683,6,692,9,3,16,False
85,85,3,5,688,6,696,8,2,17,False
86,86,3,12,700,6,706,6,0,17,False
87,87,1,8,708,8,719,11,3,17,False
88,88,3,6,714,8,728,14,6,18,False
89,89,3,9,723,6,732,9,3,17,False
90,90,2,6,729,6,740,11,5,16,False
91,91,1,3,732,7,745,13,6,16,False
92,92,3,5,737,6,753,16,10,17,False
93,93,1,7,744,6,757,13,7,17,False
94,94,1,5,749,6,763,14,8,17,False
95,95,3,8,757,6,769,12,6,16,False
96,96,3,8,765,6,773,8,2,16,False
97,97,2,10,775,6,781,6,0,16,False
98,98,2,9,784,7,791,7,0,17,False
99,99,3,9,793,6,799,6,0,16,False
